0,1
Mi danza (feat. Dani de Morón),Fuel Fandango
MERICHANE,Zahara
Olaf el vikingo,LOS NIKIS
So So,Rusowsky
WTF Is In My Cup,Chico Blanco
Algorithm,Muse
Ca plane pour moi,Plastic Bertrand
Fantasya,Pedro LaDroga
1996,InnerCut
Kuzola,Pongo
Tiburon,Proyecto Uno
Dance With Me,Deux
Spinnerei,Planet Caravan
Home,Edward Sharpe & The Magnetic Zeros
Where Is My Mind? - Remastered,Pixies
René,Residente
Okashi,Charlotte Adigéry
Mumma Don't Tell - Faltydl Remix,Leifur James
Multi-Love,Unknown Mortal Orchestra
Nothing's Gonna Hurt You Baby,Cigarettes After Sex
Giddy On The Ciggies,Sleaford Mods
Affection,Cigarettes After Sex
A Festa,Trüby Trio
Child,B77
Grey,Kölsch
Alright,KYTES
Odd Look,Kavinsky
Nightcall,Kavinsky
La Bomba,King Africa
Mi Carro,Manolo Escobar
Jolie Coquine,Caravan Palace
Hip Hop ?,Hocus Pocus
Phone Numbers,Dominic Fike
Nothing Else Matters,Metallica
Lo más bonito del mundo,Delafé
Love Letters to God,Nahko And Medicine For The People
Looped,Kiasmos
The Trooper,Steve ´n´ Seagulls
The Chain - 2004 Remaster,Fleetwood Mac
My Sweet Lord / Today Is a Killer - Remastered,Nina Simone
